 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2020
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;1;-;2;4;7;7;8;6;4;10;-;49
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;2;3;4;2;2;1;-;18
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;4;7;12;5;2;3;-;39
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;2;-;2;11;30;57;55;73;66;52;36;25;-;409
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;1;-;-;1;1;4;6;2;7;6;11;2;1;4;-;46
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;5;4;7;2;1;-;-;26
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;2;9;6;14;17;19;9;9;5;-;90
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;2;14;29;24;34;24;28;10;11;-;176
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;1;7;9;29;74;164;193;251;244;159;110;141;-;1382
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;4;3;22;30;47;78;106;221;295;345;291;264;391;-;2097
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;1;2;2;8;13;14;11;27;20;21;33;-;152
"C18   Neopl malig do colon";-;-;-;-;-;-;-;2;4;6;15;25;39;74;109;181;246;296;294;242;363;-;1896
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;2;-;3;6;4;8;10;23;31;33;28;20;36;-;204
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;1;7;12;25;28;48;81;120;120;125;86;157;-;810
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;1;2;2;7;4;14;15;10;17;15;6;13;-;106
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;2;1;-;-;4;4;11;14;19;38;99;178;214;210;245;190;222;1;1452
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;1;3;5;3;3;8;15;9;16;-;63
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;1;1;1;6;5;6;9;32;35;34;37;39;59;-;265
"C25   Neopl malig do pancreas";-;-;-;-;-;1;-;-;3;2;4;17;24;52;107;162;240;263;237;207;289;1;1609
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;1;-;2;10;10;26;25;45;76;96;82;71;109;-;553
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;1;3;4;-;13
"C31   Neopl malig dos seios da face";-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;3;2;-;3;3;4;-;21
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;6;16;45;118;161;185;191;142;86;98;-;1048
"C33   Neopl malig da traqueia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;3;1;1;-;12
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;7;5;10;25;27;84;185;325;575;658;607;548;727;-;3783
"C37   Neopl malig do timo";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3;-;3;1;2;-;-;11
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;3;-;8;7;1;4;2;4;15;11;19;21;13;18;1;127
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;2;4;1;-;12
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;-;-;2;2;2;1;3;1;1;2;2;-;-;1;3;3;2;-;25
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;1;-;-;2;3;8;12;6;2;5;11;11;12;17;32;27;24;15;37;-;225
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;2;5;11;14;12;15;36;36;28;38;41;73;-;311
"C44   Outr neopl malig da pele";-;-;-;-;-;1;-;-;-;-;2;3;3;11;7;19;27;24;38;49;105;-;289
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;1;4;7;5;4;-;26
"C46   Sarcoma de Kaposi";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;-;1;2;-;8
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;1;1;-;-;-;-;6
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;2;-;1;1;1;4;5;7;9;19;17;19;19;15;22;-;141
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;1;2;5;2;4;7;7;14;12;10;22;18;14;19;8;20;-;165
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;-;-;-;-;1;2;8;3;8;8;11;8;6;-;55
"C60   Neopl malig do penis";-;-;-;-;-;-;-;-;1;-;-;4;2;4;6;7;14;8;3;5;14;-;68
"C61   Neopl malig da prostata";-;-;-;-;-;1;-;-;2;1;3;-;2;8;34;102;206;367;467;541;1414;-;3148
"C62   Neopl malig dos testiculos";-;-;-;-;-;-;-;5;22;23;15;15;10;4;5;5;6;1;1;4;1;-;117
"C63   Neopl malig outr org genit masc e NE";-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;2;1;-;-;2;-;8
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;1;-;-;-;2;3;17;22;35;51;88;101;84;70;95;-;569
"C65   Neopl malig da pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;3;-;3;-;11
"C66   Neopl malig dos ureteres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;4;3;-;11
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;4;7;11;24;39;101;116;137;153;334;-;926
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;7;10;5;4;19;-;49
"C69   Neopl malig do olho e anexos";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;4;4;-;7;-;19
"C70   Neopl malig das meninges";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;2;2;-;1;-;8
"C71   Neopl malig do encefalo";-;-;3;-;9;11;13;14;5;17;21;40;40;48;79;110;116;140;113;74;96;1;950
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;1;2;2;4;4;3;2;6;9;6;16;8;16;13;10;16;21;-;139
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;3;2;1;1;6;5;12;8;7;2;7;-;54
"C74   Neopl malig da gland supra-renal";-;-;1;-;5;1;2;-;1;1;-;2;1;2;3;4;4;4;2;-;4;-;37
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;1;1;1;-;-;1;2;-;-;-;-;3;2;5;4;4;-;24
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;1;-;2;3;6;7;7;15;32;59;70;94;88;63;65;96;-;608
"C77   Neopl malig secund e NE gangl linfaticos";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;5;1;-;3;-;14
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;1;1;2;2;5;9;19;26;28;40;46;39;52;-;270
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;1;1;2;-;2;2;4;5;12;20;38;28;26;32;41;-;214
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;1;5;3;5;17;16;17;34;78;99;101;132;78;133;-;719
"C81   Doenc de Hodgkin";-;-;-;-;-;1;-;1;2;5;6;8;3;4;4;6;3;5;2;7;7;-;64
"C82   Linfoma nao-Hodgkin folicular";-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;1;1;-;2;3;5;-;17
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;1;1;1;5;1;3;3;5;3;3;10;9;11;17;12;9;15;-;109
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;-;1;1;2;1;4;1;2;3;4;5;5;3;3;-;35
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;4;4;4;3;13;8;16;18;17;40;38;56;52;39;64;-;376
"C88   Doenc imunoproliferativas malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;1;1;1;-;8
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;2;2;6;13;27;38;69;78;74;80;92;-;481
"C91   Leucemia linfoide";-;-;1;-;5;12;11;10;10;6;6;6;5;6;11;11;15;27;21;20;35;-;218
"C92   Leucemia mieloide";-;-;2;-;4;7;4;6;9;13;12;19;24;18;26;31;27;52;48;42;82;-;426
"C93   Leucemia monocitica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;1;1;-;6
"C94   Outr leucemias de celulas de tipo espec";-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;2;-;4;4;2;9;-;25
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;1;-;4;4;9;3;7;4;7;9;7;14;13;17;37;-;136
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;4;-;2;3;6;-;18
"C97   Neopl malig de localiz mult independentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;2;1;-;8
"D00   Carcinoma in situ cav oral esofago estomago";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;2;1;-;7
"D01   Carcinoma in situ de outr orgaos digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;3
"D02   Carcinoma in situ ouvido medio e ap respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;3
"D03   Melanoma in situ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D04   Carcinoma in situ da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;5
"D05   Carcinoma in situ da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"D07   Carcinoma in situ outr orgaos genitais e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3
"D09   Carcinoma in situ de outr localiz e das NE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;4
"D12   Neopl benig do colon reto canal anal e anus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;3
"D13   Neopl benig outr part e mal def ap digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
"D15   Neopl benig outr orgaos intratoracicos e NE";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"D16   Neopl benig de osso e cartilagem articular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"D18   Hemangioma e linfangioma de qualquer localiz";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;2;1;1;-;7
"D19   Neopl benig de tec mesotelial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"D22   Nevos melanociticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"D23   Outr neopl benig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"D29   Neopl benig dos orgaos genitais masc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;3;-;7
"D32   Neopl benig das meninges";-;-;-;-;-;-;-;1;-;-;1;1;1;1;-;2;4;4;6;2;7;-;30
"D33   Neopl benig encef e out part sist nerv centr";-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;1;1;2;-;1;1;-;11
"D35   Neopl benig de outr gland endocrinas e NE";-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;4;1;-;1;-;10
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3
"D37   Neopl comp incerto/desc cav oral e org dig";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;4;12;4;7;15;-;46
"D38   Neopl comp inc/desc ouv med org resp intrat";-;-;-;-;-;-;-;-;1;-;1;-;1;1;10;4;6;9;12;12;14;-;71
"D40   Neopl comp incerto/desconh org genitais masc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;5;8;-;18
"D41   Neopl comp incerto/desconh orgaos urinarios";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;2;4;-;10
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;-;-;-;-;-;-;-;-;2;4;2;5;3;4;4;7;6;5;1;-;43
"D44   Neopl comp incerto/desconh gland endocrinas";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3
"D45   Policitemia vera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;4;-;8
"D46   Sindr mielodisplasicas";-;-;-;-;1;-;-;-;-;1;1;-;3;3;2;2;9;14;10;27;57;-;130
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;-;-;1;2;4;1;2;4;1;5;7;4;8;11;9;-;59
"D48   Neopl comp inc/desconh outr localiz e NE";-;-;-;-;-;-;-;-;1;-;1;-;1;1;2;6;5;8;6;5;9;-;45
"D50   Anemia p/defic de ferro";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;2;3;2;2;13;-;27
"D53   Outr anemias nutricionais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;3;13;-;19
"D55   Anemia dev transt enzimaticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"D56   Talassemia";-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;2;-;6
"D57   Transt falciformes";-;-;-;-;1;1;-;5;3;6;3;5;4;-;2;-;-;1;1;-;-;-;32
"D58   Outr anemias hemoliticas hereditarias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;-;-;5
"D59   Anemia hemolitica adquir";-;-;-;-;-;-;1;-;-;-;-;-;-;3;2;1;-;4;1;4;4;-;20
"D60   Aplasia pura da serie vermelha adquir";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;5
"D61   Outr anemias aplasticas";-;-;-;-;1;2;2;1;4;2;3;5;3;1;5;7;5;13;4;13;13;-;84
"D62   Anemia aguda pos-hemorragica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;3
