 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2010
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;-;-;-;1;3;2;-;6;2;5;6;4;9;-;38
"C60   Neopl malig do penis";-;-;-;-;-;-;-;-;-;3;2;1;-;4;5;7;4;2;5;3;10;-;46
"C61   Neopl malig da prostata";-;-;-;-;-;-;-;1;2;-;-;1;5;6;44;98;187;307;406;526;1111;-;2694
"C62   Neopl malig dos testiculos";-;-;-;-;-;-;-;8;16;25;6;16;5;3;3;1;2;-;-;2;-;-;87
"C63   Neopl malig outr org genit masc e NE";-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;2;2;1;5;-;14
"C64   Neopl malig do rim exceto pelve renal";-;-;1;-;-;3;2;-;-;4;5;6;10;16;37;56;53;57;55;48;57;-;410
"C65   Neopl malig da pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;4
"C66   Neopl malig dos ureteres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;5;-;9
"C67   Neopl malig da bexiga";-;-;-;-;1;-;-;-;-;3;-;2;2;6;17;62;63;76;116;115;211;2;676
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;2;7;4;3;6;-;28
"C69   Neopl malig do olho e anexos";-;-;-;-;1;-;-;-;-;3;-;-;1;2;-;2;2;1;3;2;4;-;21
"C70   Neopl malig das meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;1;-;1;-;9
"C71   Neopl malig do encefalo";-;1;2;-;9;23;22;10;13;17;32;33;46;54;98;96;93;100;86;75;59;1;870
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;1;-;1;-;2;-;4;-;3;1;5;10;4;8;10;12;11;11;8;-;91
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;1;1;5;5;2;4;4;5;5;5;-;37
"C74   Neopl malig da gland supra-renal";-;-;3;-;8;11;1;-;-;1;2;-;1;2;2;2;1;1;6;1;-;-;42
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;1;-;1;1;-;1;-;1;-;1;4;-;2;1;1;3;3;-;20
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;3;2;3;3;7;15;23;54;45;49;54;51;41;68;2;420
"C77   Neopl malig secund e NE gangl linfaticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;3;1;2;-;12
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;3;-;-;3;7;20;22;26;45;51;59;51;65;1;353
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;-;2;3;5;3;7;10;22;24;15;31;24;36;-;182
"C80   Neopl malig s/especificacao de localiz";1;-;-;-;1;-;-;6;7;7;7;14;26;40;91;106;124;124;118;107;173;1;953
"C81   Doenc de Hodgkin";-;-;-;-;-;2;1;3;3;10;7;2;3;3;3;5;7;5;6;5;6;-;71
"C82   Linfoma nao-Hodgkin folicular";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;4;1;4;2;3;-;20
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;1;2;1;1;2;2;1;1;1;7;2;6;4;4;4;5;6;-;50
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;1;-;1;-;1;1;4;-;5;1;1;3;3;1;-;22
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;1;2;7;4;17;8;10;14;24;32;37;54;61;59;55;45;-;430
"C88   Doenc imunoproliferativas malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;1;1;-;7
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;1;4;3;4;14;24;39;36;50;40;39;58;-;312
"C91   Leucemia linfoide";-;-;2;-;6;14;12;18;16;17;10;5;11;12;11;9;18;17;21;18;31;-;248
"C92   Leucemia mieloide";-;-;1;-;8;9;4;13;10;17;15;17;20;27;27;32;25;44;45;38;55;-;407
"C93   Leucemia monocitica";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;1;-;-;6
"C94   Outr leucemias de celulas de tipo espec";-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;1;-;2;-;-;7
"C95   Leucemia de tipo celular NE";-;-;-;-;1;1;3;4;6;3;3;6;6;6;6;7;10;9;11;24;25;-;131
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;1;-;-;-;2;-;-;1;-;1;-;2;-;1;3;-;5;-;16
"C97   Neopl malig de localiz mult independentes";-;-;-;-;-;-;1;-;1;-;-;-;1;1;2;6;5;4;6;6;7;-;40
"D00   Carcinoma in situ cav oral esofago estomago";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;1;2;-;-;8
"D01   Carcinoma in situ de outr orgaos digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;2;4;3;2;-;16
"D02   Carcinoma in situ ouvido medio e ap respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;5;3;2;2;1;5;-;20
"D03   Melanoma in situ";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;3
"D04   Carcinoma in situ da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;4
"D05   Carcinoma in situ da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D07   Carcinoma in situ outr orgaos genitais e NE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;1;3;2;3;-;13
"D09   Carcinoma in situ de outr localiz e das NE";-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;5;3;1;1;3;3;-;22
"D10   Neopl benig da boca e da faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;-;-;-;6
"D12   Neopl benig do colon reto canal anal e anus";-;-;-;-;-;-;-;-;-;1;1;2;1;-;1;-;2;-;-;2;1;-;11
"D13   Neopl benig outr part e mal def ap digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;3;1;1;2;-;12
"D14   Neopl benig ouvido medio e aparelho respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;4
"D15   Neopl benig outr orgaos intratoracicos e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"D17   Neopl lipomatosa benig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D18   Hemangioma e linfangioma de qualquer localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;1;-;1;-;7
"D20   Neopl benig tec mole retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"D23   Outr neopl benig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D29   Neopl benig dos orgaos genitais masc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;3
"D30   Neopl benig dos orgaos urinarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"D31   Neopl benig do olho e anexos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D32   Neopl benig das meninges";-;-;-;-;-;-;2;-;-;-;-;-;-;2;2;2;2;1;1;1;4;-;17
"D33   Neopl benig encef e out part sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;2;1;2;-;-;-;11
"D35   Neopl benig de outr gland endocrinas e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;3
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;3
"D37   Neopl comp incerto/desc cav oral e org dig";-;-;-;-;-;-;-;-;-;-;-;-;1;1;5;4;6;5;8;3;6;-;39
"D38   Neopl comp inc/desc ouv med org resp intrat";-;-;-;-;-;-;-;-;-;1;-;-;1;2;3;6;4;6;4;5;10;-;42
"D40   Neopl comp incerto/desconh org genitais masc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4;1;3;10;-;22
"D41   Neopl comp incerto/desconh orgaos urinarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;4;-;8
"D42   Neopl comp incerto/desconhecido meninges";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;-;-;-;-;-;3;1;-;5;1;3;2;7;4;5;2;5;4;8;-;50
"D44   Neopl comp incerto/desconh gland endocrinas";-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;2;-;1;-;-;1;-;8
"D45   Policitemia vera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;5;-;10
"D46   Sindr mielodisplasicas";-;-;-;-;1;-;-;1;-;1;2;-;1;-;5;6;3;6;15;16;34;-;91
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;1;-;2;1;-;1;2;1;1;3;3;13;13;11;7;-;59
"D48   Neopl comp inc/desconh outr localiz e NE";1;1;-;-;1;-;-;-;-;1;-;3;1;-;3;4;4;9;4;4;8;-;44
"D50   Anemia p/defic de ferro";-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;1;1;1;1;7;-;16
"D51   Anemia p/defic de vitamina B12";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"D52   Anemia p/defic de folato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D53   Outr anemias nutricionais";-;-;-;-;-;-;-;1;-;-;1;2;-;-;2;3;1;2;2;1;9;-;24
"D55   Anemia dev transt enzimaticos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"D56   Talassemia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"D57   Transt falciformes";-;-;2;-;1;1;2;3;8;6;7;3;2;1;2;1;1;1;-;-;-;-;41
"D58   Outr anemias hemoliticas hereditarias";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;3
"D59   Anemia hemolitica adquir";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;2;3;-;3;-;12
