Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2018
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"C26   Neopl malig outr mal def aparelho digestivo";0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;1;4;0;0;0;0;0;12
"C32   Neopl malig da laringe";0;0;0;0;0;0;0;0;1;1;2;4;5;10;3;2;4;2;0;1;0;0;35
"C34   Neopl malig dos bronquios e dos pulmoes";0;0;0;0;0;0;0;1;2;2;4;7;15;24;17;18;8;4;2;1;0;0;105
"C37   Neopl malig do timo";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
"C38   Neopl malig do coracao mediastino e pleura";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
"C40   Neopl malig ossos/cartilag artic membros";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3
"C41   Neopl malig ossos/cartil artic outr loc e NE";0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3
"C43   Melanoma malig da pele";0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;2;0;0;0;0;0;6
"C44   Outr neopl malig da pele";0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;3
"C45   Mesotelioma";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"C46   Sarcoma de Kaposi";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"C47   Neopl malig nervos perif e sist nerv autonom";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"C48   Neopl malig tec moles retro- e peritonio";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
"C49   Neopl malig tec conjuntivo e outr tec moles";0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;5
"C61   Neopl malig da prostata";0;0;0;0;0;0;0;0;0;0;2;4;4;11;16;18;15;11;4;2;0;0;87
"C62   Neopl malig dos testiculos";0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3
"C64   Neopl malig do rim exceto pelve renal";0;0;0;0;0;1;0;0;0;0;0;3;4;3;1;4;1;0;0;0;0;0;17
"C67   Neopl malig da bexiga";0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;2;5;4;2;0;0;0;19
"C68   Neopl malig de outr orgaos urinarios e NE";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2
"C69   Neopl malig do olho e anexos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"C71   Neopl malig do encefalo";2;0;0;0;0;0;2;1;0;1;1;2;6;2;2;2;2;2;0;2;0;0;27
"C72   Neop mal med esp nerv cran out sist nerv cen";0;0;0;0;0;0;1;0;0;1;0;0;1;1;2;1;2;0;1;0;0;0;10
"C73   Neopl malig da gland tireoide";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"C74   Neopl malig da gland supra-renal";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"C75   Neopl malig outr gland endocrinas estr relac";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3
"C76   Neopl malig outr localiz e mal definidas";0;0;0;0;0;0;0;0;2;1;0;2;5;2;3;3;0;1;2;0;0;0;21
"C78   Neopl malig secund org respirat e digestivos";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;5
"C80   Neopl malig s/especificacao de localiz";0;0;0;0;0;0;0;1;0;0;0;2;2;1;1;2;2;0;0;0;0;0;11
"C83   Linfoma nao-Hodgkin difuso";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"C84   Linfomas de celulas T cutaneas e perifericas";0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;3
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";0;0;0;0;1;0;0;3;1;2;1;0;3;4;2;1;0;1;1;0;0;0;20
"C90   Mieloma mult e neopl malig de plasmocitos";0;0;0;0;0;0;0;0;0;2;1;2;8;1;1;1;2;1;0;0;0;0;19
"C91   Leucemia linfoide";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;1;0;0;0;6
"C92   Leucemia mieloide";0;0;0;0;0;0;0;1;0;0;2;0;3;2;3;0;1;0;2;0;0;0;14
"C94   Outr leucemias de celulas de tipo espec";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C95   Leucemia de tipo celular NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"D17   Neopl lipomatosa benig";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"D32   Neopl benig das meninges";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
"D35   Neopl benig de outr gland endocrinas e NE";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"D46   Sindr mielodisplasicas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3
"D47   Out neop comp inc/des tec linf hemat tec cor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"D57   Transt falciformes";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"D61   Outr anemias aplasticas";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"D62   Anemia aguda pos-hemorragica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"D64   Outr anemias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
"D65   Coagulacao intravascular disseminada";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"D68   Outr defeitos da coagulacao";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"D69   Purpura e outr afeccoes hemorragicas";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"D84   Outr imunodeficiencias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"E05   Tireotoxicose";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"E11   Diabetes mellitus nao-insulino-dependemte";0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;2;1;0;0;0;0;9
"E12   Diabetes mellitus relac c/a desnutr";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
"E13   Outr tipos espec de diabetes mellitus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"E14   Diabetes mellitus NE";0;0;0;0;0;0;0;0;0;2;0;7;6;10;12;7;7;4;5;0;0;0;60
"E16   Outr transt da secrecao pancreatica interna";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
"E22   Hiperfuncao da hipofise";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"E27   Outr transt da gland supra-renal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"E43   Desnutric proteico-calorica grave NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"E46   Desnutric proteico-calorica NE";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;1;1;0;7
"E66   Obesidade";0;0;0;0;0;0;1;1;1;3;0;3;0;1;1;1;0;0;0;0;0;0;12
"E78   Disturbios metab lipoproteinas e out lipidem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3
"E83   Disturbios do metabolismo de minerais";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"E87   Outr transt equil hidroeletr e acido-basic";1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;5
"F03   Demencia NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
"F10   Transt mentais comport dev uso alcool";0;0;0;0;0;0;0;0;1;0;0;3;1;0;2;0;1;1;0;0;0;0;9
"F14   Transt mentais e comport dev uso da cocaina";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"F17   Transt mentais e comport dev uso de fumo";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"F19   Transt ment comp mult drog out subst psicoat";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"G00   Meningite bacter NCOP";2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;6
"G03   Meningite dev outr causas e a causas NE";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
"G04   Encefalite mielite e encefalomielite";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3
"G10   Doenc de Huntington";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
"G12   Atrofia muscular espinal e sindr correlatas";0;0;0;1;0;0;0;0;0;1;1;0;1;0;4;1;1;0;0;0;0;0;10
"G20   Doenc de Parkinson";0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;9;4;3;3;0;0;0;24
"G30   Doenc de Alzheimer";0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;4;11;20;9;1;0;0;55
"G31   Outr doenc degenerativas sist nervoso NCOP";0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;14;10;10;8;2;1;0;52
"G35   Esclerose mult";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"G40   Epilepsia";0;0;0;1;0;0;0;1;0;1;0;2;1;1;4;0;1;2;0;0;0;0;14
"G41   Estado de mal epileptico";0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;3
"G62   Outr polineuropatias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"G70   Miastenia gravis outr transt neuromusculares";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
"G71   Transt prim dos musculos";0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4
"G80   Paralisia cerebral";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"G82   Paraplegia e tetraplegia";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"G91   Hidrocefalia";2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;6
"G93   Outr transt do encefalo";0;0;0;1;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;5
"H70   Mastoidite e afeccoes correlatas";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"I08   Doenc de mult valvas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"I10   Hipertensao essencial";0;0;0;0;0;0;0;0;1;1;0;1;3;1;1;2;1;0;4;0;0;0;15
"I11   Doenc cardiaca hipertensiva";0;0;0;0;0;0;0;0;1;1;2;2;1;5;5;3;4;4;1;0;0;0;29
"I12   Doenc renal hipertensiva";0;0;0;0;0;0;0;1;0;0;0;1;3;0;1;3;1;0;1;0;0;0;11
"I13   Doenc cardiaca e renal hipertensiva";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;4
"I21   Infarto agudo do miocardio";0;0;0;0;1;1;5;5;14;25;47;42;42;53;71;51;39;34;9;3;0;0;442
"I24   Outr doenc isquemicas agudas do coracao";0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;2;1;1;0;0;0;9
"I25   Doenc isquemica cronica do coracao";0;0;0;0;0;0;0;1;0;1;0;8;4;11;9;17;20;11;4;2;0;0;88
"I26   Embolia pulmonar";0;0;0;0;0;0;2;0;2;0;2;2;1;0;1;1;0;4;0;1;0;0;16
"I31   Outr doenc do pericardio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2
"I33   Endocardite aguda e subaguda";0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;7
"I34   Transt nao-reumaticos da valva mitral";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;6
"I35   Transt nao-reumaticos da valva aortica";0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;0;0;0;0;0;0;9
"I36   Transt nao-reumaticos da valva tricuspide";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"I38   Endocardite de valva NE";0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;6
"I40   Miocardite aguda";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"I42   Cardiomiopatias";0;0;0;0;0;1;1;1;2;2;4;6;7;7;3;8;5;3;5;1;0;0;56
"I48   Flutter e fibrilacao atrial";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;3;1;3;0;0;0;12
"I49   Outr arritmias cardiacas";0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;4;0;1;0;0;0;11
"I50   Insuf cardiaca";0;0;0;0;0;0;0;1;2;0;1;4;5;8;12;9;11;7;8;1;1;0;70
"I51   Complic cardiopatias doenc cardiacas mal def";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;6
"I60   Hemorragia subaracnoide";0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;2;0;0;0;0;0;0;6
"I61   Hemorragia intracerebral";0;0;0;0;0;0;0;1;4;4;3;3;8;5;2;5;6;0;0;1;0;0;42
"I62   Outr hemorragias intracranianas nao-traum";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;1;2;0;0;0;8
"I63   Infarto cerebral";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;2;0;0;0;0;7
"I64   Acid vasc cerebr NE como hemorrag isquemico";0;0;0;0;0;0;0;0;1;0;3;2;7;5;12;16;11;6;9;1;0;0;73
"I67   Outr doenc cerebrovasculares";0;0;0;0;0;0;0;1;1;0;3;4;7;6;12;9;9;6;3;1;1;0;63
"I69   Sequelas de doenc cerebrovasculares";0;0;0;0;0;0;0;0;0;1;1;1;3;4;11;16;18;6;3;1;0;0;65
"I70   Aterosclerose";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;5
"I71   Aneurisma e disseccao da aorta";0;0;0;0;0;0;0;1;2;3;4;3;6;5;8;5;6;4;3;1;0;0;51
"I72   Outr aneurismas";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"I73   Outr doenc vasculares perifericas";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;4
"I74   Embolia e trombose arteriais";0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;0;0;0;0;6
"I77   Outr afeccoes das arterias e arteriolas";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;3
"I80   Flebite e tromboflebite";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2
"I81   Trombose da veia porta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"I83   Varizes dos membros infer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"I87   Outr transt das veias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"I99   Outr transt do aparelho circulatorio e os NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
"J06   Infecc agudas vias aereas super loc mult NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"J09   Influenza dev virus gripe aviária";1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;5
"J10   Influenza dev outro virus influenza ident";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"J11   Influenza dev virus nao identificado";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
"J15   Pneumonia bacter NCOP";1;0;0;0;0;0;0;0;0;2;2;1;1;7;2;3;9;5;0;1;0;0;34
"J18   Pneumonia p/microorg NE";1;0;0;0;1;3;1;4;3;2;4;10;6;12;19;18;37;31;25;12;4;0;193
"J21   Bronquiolite aguda";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"J43   Enfisema";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;2;0;0;0;0;6
"J44   Outr doenc pulmonares obstrutivas cronicas";0;0;0;0;0;0;0;2;0;0;3;1;10;13;15;19;25;26;4;3;0;0;121
"J45   Asma";1;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;6
"J64   Pneumoconiose NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"J69   Pneumonite dev solidos e liquidos";0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;5;6;0;1;0;0;16
"J70   Afeccoes respirat dev outr agentes externos";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"J80   Sindr do desconforto respirat do adulto";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3
"J81   Edema pulmonar NE de outr form";0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;1;0;0;0;6
"J84   Outr doenc pulmonares intersticiais";0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;6;2;2;1;0;0;0;17
"J85   Abscesso do pulmao e do mediastino";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;3
"J86   Piotorax";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
"J90   Derrame pleural NCOP";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;4
"J96   Insuf respirat NCOP";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;5
"J98   Outr transt respirat";0;0;0;0;0;0;0;0;0;0;1;1;0;3;3;1;1;0;1;0;0;0;11
"K22   Outr doenc do esofago";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"K25   Ulcera gastrica";0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;1;0;0;5
"K26   Ulcera duodenal";0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;4
"K27   Ulcera peptica de localiz NE";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
"K29   Gastrite e duodenite";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
"K35   Apendicite aguda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"K40   Hernia inguinal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;6
"K41   Hernia femoral";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"K42   Hernia umbilical";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"K43   Hernia ventral";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
"K44   Hernia diafragmatica";0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;6
"K50   Doenc de Crohn";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"K51   Colite ulcerativa";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"K52   Outr gastroenterites e colites nao-infecc";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
"K55   Transt vasculares do intestino";0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;6
"K56   Ileo paralitico e obstr intestinal s/hernia";0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;1;1;0;0;0;0;0;8
"K57   Doenc diverticular do intestino";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;0;1;0;0;0;7
"K63   Outr doenc do intestino";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"K65   Peritonite";0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;4;1;1;1;0;0;12
