Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;;
Período:2019;;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Ign;Total
C39   Neop mal out loc mal def ap resp org intrat;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C40   Neopl malig ossos/cartilag artic membros;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C41   Neopl malig ossos/cartil artic outr loc e NE;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3
C43   Melanoma malig da pele;0;0;0;0;0;0;0;0;2;0;2;0;1;3;1;4;0;2;2;2;0;0;19
C44   Outr neopl malig da pele;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;4
C45   Mesotelioma;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;4
C47   Neopl malig nervos perif e sist nerv autonom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
C48   Neopl malig tec moles retro- e peritonio;0;0;0;0;0;0;0;0;1;2;1;1;3;3;1;1;2;2;0;0;0;0;17
C49   Neopl malig tec conjuntivo e outr tec moles;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;7
C50   Neopl malig da mama;0;0;0;0;0;1;4;3;10;10;11;16;17;13;5;14;13;15;7;1;0;0;140
C51   Neopl malig da vulva;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;5
C52   Neopl malig da vagina;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
C53   Neopl malig do colo do utero;0;0;0;0;0;0;2;0;5;1;1;1;3;3;2;1;1;2;0;0;0;0;22
C54   Neopl malig do corpo do utero;0;0;0;0;0;0;0;0;0;0;2;2;3;5;2;3;4;2;1;0;0;0;24
C55   Neopl malig do utero porcao NE;0;0;0;0;0;0;0;0;1;0;2;1;1;1;1;2;0;0;0;0;0;0;9
C56   Neopl malig do ovario;0;0;0;0;0;0;0;2;1;2;3;7;3;2;4;6;6;0;0;0;0;0;36
C57   Neopl malig outr org genitais femin e NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2
C60   Neopl malig do penis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
C61   Neopl malig da prostata;0;0;0;0;0;0;0;0;0;0;2;1;5;9;12;16;13;9;10;1;0;0;78
C62   Neopl malig dos testiculos;0;0;0;1;2;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
C63   Neopl malig outr org genit masc e NE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C64   Neopl malig do rim exceto pelve renal;0;0;0;0;0;0;1;0;0;0;0;3;5;3;2;9;4;1;2;2;0;0;32
C65   Neopl malig da pelve renal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
C67   Neopl malig da bexiga;0;0;0;0;0;0;0;0;0;2;0;4;4;6;3;10;11;6;4;1;0;0;51
C68   Neopl malig de outr orgaos urinarios e NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C69   Neopl malig do olho e anexos;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C70   Neopl malig das meninges;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2
C71   Neopl malig do encefalo;0;0;0;0;0;2;1;1;1;2;3;9;10;7;7;2;4;1;1;0;0;0;51
C72   Neop mal med esp nerv cran out sist nerv cen;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;6
C73   Neopl malig da gland tireoide;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;1;0;0;0;0;0;6
C74   Neopl malig da gland supra-renal;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
C75   Neopl malig outr gland endocrinas estr relac;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3
C76   Neopl malig outr localiz e mal definidas;0;0;0;0;0;0;0;0;0;0;3;4;5;5;1;2;4;1;3;0;0;0;28
C78   Neopl malig secund org respirat e digestivos;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0;1;2;0;0;0;0;0;9
C79   Neopl malig secund de outr localiz;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;4
C80   Neopl malig s/especificacao de localiz;0;0;1;0;0;0;0;0;1;0;4;8;6;7;7;8;3;8;2;0;0;0;55
C81   Doenc de Hodgkin;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;4
C82   Linfoma nao-Hodgkin folicular;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;4
C83   Linfoma nao-Hodgkin difuso;0;0;0;0;0;1;0;0;2;0;2;1;0;1;0;1;1;0;0;0;0;0;9
C84   Linfomas de celulas T cutaneas e perifericas;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;0;1;0;0;0;0;0;1;1;1;1;4;6;8;5;7;3;2;1;1;0;0;42
C90   Mieloma mult e neopl malig de plasmocitos;0;0;0;0;0;0;1;0;1;2;1;1;3;2;6;9;3;2;1;0;0;0;32
C91   Leucemia linfoide;2;1;0;0;1;0;0;1;0;0;0;2;0;2;2;2;0;0;2;1;0;0;16
C92   Leucemia mieloide;0;0;1;0;0;1;1;0;2;1;0;2;1;3;1;4;2;1;1;0;0;0;21
C94   Outr leucemias de celulas de tipo espec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C95   Leucemia de tipo celular NE;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;5
D21   Outr neopl benig tec conj e outr tec moles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
D27   Neopl benig do ovario;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
D38   Neopl comp inc/desc ouv med org resp intrat;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
D43   Neopl comp inc/desc encefalo sist nerv centr;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;4
D45   Policitemia vera;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
D46   Sindr mielodisplasicas;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;2;2;1;0;0;0;9
D47   Out neop comp inc/des tec linf hemat tec cor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;5
D53   Outr anemias nutricionais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D57   Transt falciformes;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
D61   Outr anemias aplasticas;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;5
D62   Anemia aguda pos-hemorragica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
D64   Outr anemias;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;1;1;0;7
D65   Coagulacao intravascular disseminada;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3
D68   Outr defeitos da coagulacao;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
D69   Purpura e outr afeccoes hemorragicas;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;3
D70   Agranulocitose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
D71   Transt func neutrofilos polimorfonucleares;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
D72   Outr transt dos globulos brancos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
D73   Doenc do baco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
D81   Defic imunitarias combinadas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
D84   Outr imunodeficiencias;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
E03   Outr hipotireoidismos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
E10   Diabetes mellitus insulino-dependente;0;0;0;0;1;0;0;0;1;2;3;1;1;1;2;0;0;1;0;0;0;0;13
E11   Diabetes mellitus nao-insulino-dependemte;0;0;0;0;0;0;0;0;0;0;0;0;3;1;4;3;6;5;1;1;0;0;24
E14   Diabetes mellitus NE;0;0;0;0;0;0;0;1;1;7;6;15;11;17;24;31;23;16;20;6;1;0;179
E43   Desnutric proteico-calorica grave NE;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;1;0;0;8
E46   Desnutric proteico-calorica NE;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;2;3;6;0;1;2;0;19
E51   Defic de tiamina;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
E66   Obesidade;0;0;0;0;0;0;0;0;2;2;0;3;1;1;1;2;1;1;0;0;0;0;14
E72   Outr disturbios metabolismo de aminoacidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
E75   Disturb metab esfingolip e outr depos lipid;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
E76   Disturbios metabolismo do glicosaminoglicano;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
E78   Disturbios metab lipoproteinas e out lipidem;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;5
E83   Disturbios do metabolismo de minerais;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;5
E84   Fibrose cistica;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
E85   Amiloidose;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
E86   Deplecao de volume;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;2;0;0;0;0;6
E87   Outr transt equil hidroeletr e acido-basic;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;4;3;2;0;0;16
E88   Outr disturbios metabolicos;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;3
F03   Demencia NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3
F10   Transt mentais comport dev uso alcool;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;3
F14   Transt mentais e comport dev uso da cocaina;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
F17   Transt mentais e comport dev uso de fumo;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;4
F19   Transt ment comp mult drog out subst psicoat;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
F20   Esquizofrenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
F22   Transt delirantes persistentes;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
F32   Episodios depressivos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
F72   Retardo mental grave;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
G00   Meningite bacter NCOP;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;4
G03   Meningite dev outr causas e a causas NE;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;4
G04   Encefalite mielite e encefalomielite;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;1;1;0;0;0;0;0;7
G06   Abscesso granuloma intracran intra-raquid;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
G09   Sequelas doenc inflam sist nerv centr;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
G10   Doenc de Huntington;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
G12   Atrofia muscular espinal e sindr correlatas;0;0;0;0;0;0;0;0;0;2;2;0;4;2;2;2;4;0;0;0;0;0;18
G20   Doenc de Parkinson;0;0;0;0;0;0;0;0;0;0;1;0;0;1;5;4;7;11;6;1;0;0;36
G30   Doenc de Alzheimer;0;0;0;0;0;0;0;0;0;1;0;0;1;3;10;12;36;51;42;8;4;0;168
G31   Outr doenc degenerativas sist nervoso NCOP;0;0;0;0;0;0;0;0;0;0;1;1;2;3;6;10;27;35;31;17;3;0;136
G35   Esclerose mult;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
G37   Outr doenc desmielinizantes sist nerv centr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
G40   Epilepsia;3;0;0;0;2;0;0;1;0;0;2;1;0;0;0;2;1;2;0;0;0;0;14
G41   Estado de mal epileptico;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
G45   Acid vasc cerebr isquemicos trans sindr corr;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
G60   Neuropatia hereditaria e idiopatica;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
G61   Polineuropatia inflam;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
G62   Outr polineuropatias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
G70   Miastenia gravis outr transt neuromusculares;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;3
G71   Transt prim dos musculos;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
G80   Paralisia cerebral;1;0;0;2;1;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;9
G81   Hemiplegia;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
G82   Paraplegia e tetraplegia;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
G90   Transt do sist nervoso autonomo;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
G91   Hidrocefalia;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;7
G93   Outr transt do encefalo;1;0;0;2;0;0;0;0;1;2;3;2;1;0;0;4;0;0;2;0;0;0;18
G98   Outr transt do sist nervoso NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
H65   Otite media nao-supurativa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
H68   Salpingite e obstrucao trompa de Eustaquio;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
I07   Doenc reumaticas da valva tricuspide;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2
I08   Doenc de mult valvas;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;4
I10   Hipertensao essencial;0;0;0;0;0;0;0;0;0;2;1;4;5;4;3;2;7;3;5;6;0;0;42
I11   Doenc cardiaca hipertensiva;0;0;0;0;0;0;0;1;0;0;2;3;6;6;4;11;12;13;13;3;0;0;74
I12   Doenc renal hipertensiva;0;0;0;0;0;0;0;0;1;0;0;3;0;2;5;6;2;1;0;0;0;0;20
I13   Doenc cardiaca e renal hipertensiva;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;1;6;3;0;0;0;15
I20   Angina pectoris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2
I21   Infarto agudo do miocardio;0;0;0;0;0;0;7;6;23;30;50;80;79;88;95;96;102;83;49;19;1;1;809
I22   Infarto do miocardio recorrente;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
I24   Outr doenc isquemicas agudas do coracao;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;2;1;0;0;0;8
I25   Doenc isquemica cronica do coracao;0;1;0;0;0;0;0;0;1;1;1;7;14;10;17;14;16;18;7;3;2;0;112
I26   Embolia pulmonar;0;0;0;0;0;1;0;0;3;0;3;3;3;4;2;2;4;3;1;0;0;0;29
I27   Outr form de doenc cardiaca pulmonar;1;0;1;0;0;0;0;0;1;0;0;1;0;1;3;0;0;0;1;0;0;0;9
I30   Pericardite aguda;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
I31   Outr doenc do pericardio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
I33   Endocardite aguda e subaguda;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3
I34   Transt nao-reumaticos da valva mitral;0;0;0;0;1;0;0;0;1;0;1;1;0;3;0;1;1;1;1;0;0;0;11
I35   Transt nao-reumaticos da valva aortica;0;0;0;0;1;0;0;0;1;0;1;2;0;1;2;2;4;3;3;0;0;0;20
I37   Transt da valva pulmonar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
I38   Endocardite de valva NE;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;2;0;1;0;0;0;8
I40   Miocardite aguda;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
I42   Cardiomiopatias;0;1;0;0;0;2;0;5;7;13;6;10;8;10;7;16;10;16;5;9;2;0;127
I44   Bloqueio atrioventricular e do ramo esquerdo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;5
I45   Outr transt de conducao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
I47   Taquicardia paroxistica;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
I48   Flutter e fibrilacao atrial;0;0;0;0;0;0;0;0;0;0;0;0;2;1;6;4;6;16;6;2;0;0;43
I49   Outr arritmias cardiacas;0;0;0;0;0;0;0;1;0;1;2;3;1;3;1;3;6;3;4;3;1;0;32
I50   Insuf cardiaca;0;0;0;0;0;1;0;1;3;1;4;6;10;10;7;22;30;30;36;4;1;0;166
I51   Complic cardiopatias doenc cardiacas mal def;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2;2;1;1;3;0;0;13
I60   Hemorragia subaracnoide;0;0;0;0;1;0;1;1;5;1;3;9;5;6;6;1;3;1;1;0;0;0;44
