 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2017
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"B34   Doenc p/virus de localiz NE";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2;-;4
"B37   Candidiase";-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;8
"B39   Histoplasmose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;3
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"B41   Paracoccidioidomicose";-;-;-;-;-;-;1;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;5
"B44   Aspergilose";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;1;2;1;-;7
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;2;-;-;-;-;5
"B46   Zigomicose";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;3
"B49   Micose NE";-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;-;-;8
"B55   Leishmaniose";-;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;5
"B57   Doenc de Chagas";-;-;-;-;-;-;-;1;-;-;-;2;3;13;20;27;38;63;81;90;128;-;466
"B58   Toxoplasmose";-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;2;-;-;-;-;-;6
"B59   Pneumocistose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;2;6;1;11;2;9;-;35
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;2;-;1;-;-;7
"B77   Ascaridiase";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"B83   Outr helmintiases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;3
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;5;1;8;-;18
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;-;-;4
"B92   Sequelas de hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;3;1;2;1;2;4;-;17
"B99   Doenc infecc outr e as NE";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;6
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;4
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;2;1;-;2;-;2;5;3;3;5;2;4;-;29
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;3;8;9;6;7;10;6;24;-;73
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;8;-;12
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;1;1;5;-;11
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4;4;3;8;-;23
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;6;6;7;6;14;22;-;67
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3;3;1;2;1;14;-;26
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;2;-;2;4;-;13
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;1;-;2;-;-;8
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;1;-;-;-;-;-;-;4;6;4;12;18;7;5;15;-;72
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;1;-;1;-;3;4;3;4;6;2;-;1;1;-;26
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;4
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;2;1;2;1;-;12
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;2;3;2;3;10;-;24
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;1;2;7;10;30;40;38;48;42;41;71;-;330
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;4;6;25;22;45;58;92;112;132;147;162;159;328;-;1292
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;4;2;9;11;12;22;15;14;23;44;-;156
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;7;14;36;51;90;126;192;202;240;213;232;535;-;1938
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;2;6;6;11;16;25;22;19;26;22;57;-;212
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;6;14;17;33;57;59;70;68;69;99;190;-;682
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;3;-;2;8;14;6;5;12;5;11;-;66
"C22   Neopl malig figado vias biliares intra-hepat";-;-;1;-;3;-;1;6;1;4;5;12;24;40;56;86;120;110;138;146;234;-;987
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;1;-;1;2;4;11;18;13;22;25;21;45;-;163
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;3;4;9;12;18;28;35;47;41;60;117;-;374
"C25   Neopl malig do pancreas";-;-;-;-;-;-;1;-;1;1;3;8;19;48;80;143;161;222;222;226;442;-;1577
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;1;-;1;3;5;7;15;24;46;68;51;64;70;158;-;513
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;-;1;5;-;10
"C31   Neopl malig dos seios da face";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;3;1;1;1;3;-;11
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;1;-;-;4;5;12;13;23;20;18;13;24;-;133
"C33   Neopl malig da traqueia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;-;-;-;-;-;6
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;1;-;1;-;5;4;11;20;32;84;183;348;462;458;387;327;545;-;2868
"C37   Neopl malig do timo";-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;1;-;-;-;-;5
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;1;1;-;2;-;3;-;2;3;5;13;12;11;12;9;19;-;93
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3;5;3;3;2;6;-;25
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;-;-;1;4;-;-;-;-;1;2;-;-;2;3;1;3;5;-;22
"C41   Neopl malig ossos/cartil artic outr loc e NE";1;-;-;-;-;2;3;2;4;6;4;3;5;6;11;20;12;6;14;16;29;-;144
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;1;1;1;4;7;7;12;18;21;19;20;31;21;58;-;221
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;1;-;2;4;1;4;2;7;10;12;26;111;-;180
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;3;4;-;12
"C46   Sarcoma de Kaposi";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;1;1;-;6
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;1;-;-;6
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;1;1;3;2;3;5;11;13;18;28;33;22;32;53;-;225
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;1;1;4;4;5;5;5;5;10;14;12;18;17;15;8;23;-;147
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;4;26;85;162;241;345;451;486;504;509;378;328;664;-;4183
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;-;1;-;-;2;3;5;3;7;13;19;17;41;-;111
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;2;1;6;1;2;6;-;23
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;2;7;21;57;65;92;94;101;97;105;85;67;49;97;-;939
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;1;-;1;5;6;11;38;52;88;72;87;59;92;-;512
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;1;4;7;26;19;31;49;70;58;73;48;54;87;-;527
"C56   Neopl malig do ovario";-;-;-;-;-;-;3;3;7;11;18;25;37;72;101;128;142;122;134;105;162;-;1070
"C57   Neopl malig outr org genitais femin e NE";-;-;-;-;-;-;-;-;1;-;-;2;4;2;5;8;9;6;9;4;21;-;71
"C58   Neopl malig da placenta";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;2;2;-;-;1;2;3;8;11;16;10;38;36;52;43;43;83;-;350
"C65   Neopl malig da pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;1;-;5
"C66   Neopl malig dos ureteres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;-;5
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;1;1;3;2;8;11;31;23;43;49;48;148;-;368
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;6;2;2;3;3;-;20
"C69   Neopl malig do olho e anexos";-;-;-;-;2;1;-;1;-;1;-;-;-;1;1;3;1;2;2;1;10;-;26
"C70   Neopl malig das meninges";-;-;-;-;-;1;-;-;-;-;-;-;1;1;2;1;1;2;-;3;2;-;14
"C71   Neopl malig do encefalo";1;-;4;-;9;13;13;6;6;11;20;23;28;49;64;109;111;103;114;84;123;-;891
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;1;-;4;2;3;1;2;-;-;1;4;6;8;10;12;16;12;18;27;-;127
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;1;-;1;4;-;3;7;12;11;14;13;17;26;-;109
"C74   Neopl malig da gland supra-renal";-;-;-;-;5;3;1;-;-;2;1;2;2;2;6;2;4;3;4;2;2;-;41
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;-;-;1;-;2;-;2;3;1;6;8;7;2;5;-;37
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;1;-;-;1;1;4;7;11;13;16;29;43;38;28;48;42;123;-;405
"C77   Neopl malig secund e NE gangl linfaticos";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;1;3;3;-;11
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;2;1;2;6;4;7;15;35;34;28;42;36;66;-;278
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;2;-;4;3;3;4;11;14;22;20;18;16;14;43;-;174
"C80   Neopl malig s/especificacao de localiz";-;-;1;-;2;-;1;-;1;1;11;13;13;37;59;90;90;107;95;101;206;-;828
"C81   Doenc de Hodgkin";-;-;-;-;-;-;-;2;7;5;6;2;6;2;1;3;4;6;10;9;11;-;74
"C82   Linfoma nao-Hodgkin folicular";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3;-;-;3;2;5;-;16
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;4;3;2;2;2;1;2;3;7;3;6;10;12;12;-;69
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;-;2;1;1;-;2;3;3;6;-;2;4;4;1;-;29
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;1;1;1;2;1;12;4;10;16;18;26;35;38;56;56;64;106;-;447
"C88   Doenc imunoproliferativas malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;-;-;5
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;1;-;5;10;9;40;51;76;68;81;101;-;442
"C91   Leucemia linfoide";-;-;1;-;6;6;6;7;14;7;7;7;1;1;10;16;12;12;12;16;51;-;192
"C92   Leucemia mieloide";-;-;1;-;5;5;5;12;6;7;14;9;16;21;27;31;34;52;49;48;75;-;417
"C93   Leucemia monocitica";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;1;-;8
"C94   Outr leucemias de celulas de tipo espec";-;-;-;-;1;-;1;-;-;-;1;1;-;-;1;3;-;4;-;4;1;-;17
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;1;3;-;1;-;7;2;7;4;6;6;12;11;17;50;-;127
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;2;2;2;-;5;-;16
"C97   Neopl malig de localiz mult independentes";-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;-;2;1;2;6;-;16
"D00   Carcinoma in situ cav oral esofago estomago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D01   Carcinoma in situ de outr orgaos digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;3;-;-;2;-;10
"D02   Carcinoma in situ ouvido medio e ap respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;3
"D03   Melanoma in situ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"D04   Carcinoma in situ da pele";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2;-;4
"D05   Carcinoma in situ da mama";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;3;-;6
"D06   Carcinoma in situ do colo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"D07   Carcinoma in situ outr orgaos genitais e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"D09   Carcinoma in situ de outr localiz e das NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;-;6;-;11
"D10   Neopl benig da boca e da faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"D12   Neopl benig do colon reto canal anal e anus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"D13   Neopl benig outr part e mal def ap digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;2;-;5
"D14   Neopl benig ouvido medio e aparelho respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"D15   Neopl benig outr orgaos intratoracicos e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"D16   Neopl benig de osso e cartilagem articular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"D17   Neopl lipomatosa benig";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"D18   Hemangioma e linfangioma de qualquer localiz";-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;2;-;1;3;-;9
"D19   Neopl benig de tec mesotelial";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3
"D23   Outr neopl benig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"D25   Leiomioma do utero";-;-;-;-;-;-;-;-;-;-;1;1;2;1;1;-;-;-;-;-;1;-;7
"D26   Outr neopl benig do utero";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"D27   Neopl benig do ovario";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"D30   Neopl benig dos orgaos urinarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;3
"D32   Neopl benig das meninges";-;-;-;-;-;-;-;-;-;-;2;1;3;-;4;2;7;6;4;9;10;-;48
"D33   Neopl benig encef e out part sist nerv centr";-;-;-;-;-;-;-;-;1;-;2;-;1;-;2;-;1;-;2;-;-;-;9
"D35   Neopl benig de outr gland endocrinas e NE";-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;1;1;2;2;-;-;11
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"D37   Neopl comp incerto/desc cav oral e org dig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;5;5;4;5;14;-;37
"D38   Neopl comp inc/desc ouv med org resp intrat";-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;9;7;3;7;2;2;-;35
"D39   Neopl comp incerto/desconh org genitais fem";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;3;2;1;4;-;15
"D41   Neopl comp incerto/desconh orgaos urinarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;3
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;-;-;-;-;-;1;-;-;-;1;2;2;2;5;8;-;5;9;6;-;41
"D44   Neopl comp incerto/desconh gland endocrinas";-;-;-;-;-;-;1;1;1;-;-;-;1;-;-;-;1;2;2;1;2;-;12
"D45   Policitemia vera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;4;-;6
"D46   Sindr mielodisplasicas";-;-;-;-;-;-;-;1;-;2;-;-;2;2;2;2;7;9;16;22;63;-;128
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;-;1;-;-;1;-;1;3;-;3;3;4;9;10;18;-;53
"D48   Neopl comp inc/desconh outr localiz e NE";-;-;-;-;-;-;-;-;-;3;1;1;2;2;3;3;4;6;2;6;13;-;46
"D50   Anemia p/defic de ferro";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;1;2;7;-;14
"D52   Anemia p/defic de folato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"D53   Outr anemias nutricionais";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;3;6;14;-;27
"D56   Talassemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;5
"D57   Transt falciformes";-;-;1;-;1;1;-;1;3;1;6;1;3;4;2;2;1;-;-;1;1;-;29
"D58   Outr anemias hemoliticas hereditarias";-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;-;-;2;3;-;10
"D59   Anemia hemolitica adquir";-;-;-;-;3;1;1;-;1;-;-;-;3;1;-;1;2;1;1;2;2;-;19
"D60   Aplasia pura da serie vermelha adquir";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;-;-;-;-;4
