 Mortalidade - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: São Paulo;;;;;;;;;;;;;;;;;;;;;;;
Período:2016;;;;;;;;;;;;;;;;;;;;;;;
Categoria CID-10;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
A30   Hanseniase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;1;-;7
A31   Infecc dev outr micobacterias;-;-;-;-;-;-;-;-;1;-;-;1;-;2;1;3;3;2;4;3;10;-;30
A35   Outr tipos de tetano;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;1;-;7
A39   Infecc meningogocica;-;1;9;-;5;3;1;5;1;1;5;5;-;-;2;4;1;2;2;-;-;-;47
A40   Septicemia estreptococica;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;1;2;1;2;10;-;19
A41   Outr septicemias;-;-;93;-;32;15;18;17;21;24;23;39;80;110;134;213;242;293;325;420;1127;4;3230
A42   Actinomicose;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;3
A44   Bartonelose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
A46   Erisipela;-;-;-;-;-;-;-;-;-;1;4;7;5;6;21;26;40;45;39;70;183;-;447
A48   Outr doenc bacter NCOP;2;1;1;-;-;-;-;-;1;1;1;1;-;3;5;8;9;13;13;14;25;1;99
A49   Infecc bacter de localiz NE;-;-;1;-;-;-;-;-;-;1;-;-;1;1;4;2;2;1;2;4;13;-;32
A50   Sifilis congen;18;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
A52   Sifilis tard;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;2;-;1;-;7
A54   Infecc gonococica;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
A68   Febres recorrentes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
A69   Outr infecc p/espiroquetas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
A77   Febre maculosa;-;-;-;-;-;2;-;1;2;-;4;1;-;-;2;-;2;2;-;-;-;-;16
A81   Infecc p/virus atipicos sist nervoso central;-;-;-;-;-;-;-;1;-;-;1;1;-;1;2;3;2;2;3;1;1;-;18
A86   Encefalite viral NE;-;-;1;-;4;1;-;3;2;3;1;-;-;3;2;1;2;2;4;3;5;-;37
A87   Meningite viral;-;-;-;-;-;-;1;-;-;1;-;1;1;2;-;2;2;3;2;1;3;-;19
A89   Infecc virais NE do sist nervoso central;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
A90   Dengue;-;-;-;-;-;-;1;-;-;5;2;3;4;6;5;6;7;6;4;5;24;-;78
A91   Febre hemorragica dev virus do dengue;-;-;1;-;-;-;-;-;-;-;1;1;-;-;3;-;-;3;2;1;5;-;17
A92   Outr febres virais transm p/mosquitos;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;3
A94   Febre viral transm p/artropodes NE;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
A95   Febre amarela;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3
A98   Outr febres hemorragicas p/virus NCOP;-;-;-;-;-;-;-;1;1;-;-;-;-;1;2;-;-;-;-;-;-;-;5
A99   Febres hemorragicas virais NE;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;1;-;-;-;-;-;5
B00   Infecc p/virus do herpes;-;-;-;-;1;-;-;-;2;1;1;1;1;-;-;3;1;1;4;5;7;-;28
B01   Varicela;-;-;1;-;6;4;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;15
B02   Herpes zoster;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;1;1;2;6;21;-;36
B05   Sarampo;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B15   Hepatite aguda A;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;1;-;5
B16   Hepatite aguda B;-;-;-;-;-;-;-;-;-;-;1;-;1;4;1;4;3;4;3;1;3;-;25
B17   Outr hepatites virais agudas;-;-;-;-;1;-;-;-;1;-;-;4;3;6;8;3;6;6;2;3;3;-;46
B18   Hepatite viral cronica;-;-;-;-;-;-;-;1;-;3;5;13;27;45;76;138;122;111;75;60;60;-;736
B19   Hepatite viral NE;-;-;2;-;-;1;-;-;1;-;1;-;3;3;2;7;6;6;3;1;4;-;40
B20   Doenc p/HIV result doenc infecc e parasit;-;-;3;-;-;-;-;14;49;152;175;254;268;302;260;176;109;62;26;14;15;6;1885
B21   Doenc p/HIV result em neopl malig;-;-;-;-;-;-;-;-;3;9;6;8;12;9;9;7;3;3;3;-;1;-;73
B22   Doenc p/HIV result em outr doenc espec;-;-;-;-;-;-;-;4;8;18;26;55;56;45;27;27;21;10;4;2;2;1;306
B23   Doenc p/HIV result em outr doenc;-;-;-;-;-;-;-;-;2;2;-;4;4;5;1;1;-;-;-;1;-;-;20
B24   Doenc p/HIV NE;-;-;-;-;-;-;-;2;2;12;13;39;38;43;39;26;17;3;9;1;2;-;246
B25   Doenc p/citomegalovirus;-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;-;1;2;-;1;-;-;8
B26   Caxumba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
B27   Mononucleose infecc;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B33   Outr doenc p/virus NCOP;-;-;1;-;1;-;-;-;-;-;-;2;1;-;1;1;1;-;-;-;-;-;8
B34   Doenc p/virus de localiz NE;-;-;1;-;1;-;-;-;1;-;-;1;1;-;-;-;1;-;1;-;1;-;8
B37   Candidiase;-;-;3;-;-;1;1;-;-;-;-;1;-;-;1;2;1;1;-;4;3;-;18
B39   Histoplasmose;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;4;-;7
B40   Blastomicose;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;1;2;2;1;-;-;11
B41   Paracoccidioidomicose;-;-;-;-;-;-;1;-;-;-;2;-;-;2;4;5;5;2;1;-;-;-;22
B43   Cromomicose e abscesso feomicotico;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
B44   Aspergilose;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;1;1;1;1;3;-;11
B45   Criptococose;-;-;-;-;-;-;-;-;-;3;5;-;1;8;5;2;2;-;-;2;-;-;28
B46   Zigomicose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
B47   Micetoma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B49   Micose NE;-;-;5;-;1;-;-;-;-;-;-;-;1;-;2;2;1;-;-;-;-;-;12
B50   Malaria p/Plasmodium falciparum;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
B51   Malaria p/Plasmodium vivax;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
B54   Malaria NE;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
B55   Leishmaniose;-;-;-;-;1;-;-;-;-;1;-;1;2;1;-;3;1;1;-;2;3;-;16
B57   Doenc de Chagas;-;-;-;-;-;-;-;-;-;1;-;7;18;35;50;86;111;154;139;128;253;-;982
B58   Toxoplasmose;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;1;-;-;-;-;-;1;8
B59   Pneumocistose;-;-;-;-;-;-;-;-;-;1;1;1;1;3;3;5;-;-;1;2;1;-;19
B65   Esquistossomose;-;-;-;-;-;-;-;1;-;-;-;-;2;2;2;7;16;7;6;4;8;-;55
B67   Equinococose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
B69   Cisticercose;-;-;-;-;-;-;-;-;-;-;-;3;2;3;1;2;1;1;1;2;2;-;18
B77   Ascaridiase;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B78   Estrongiloidiase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
B87   Miiase;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;3;-;6
B90   Sequelas de tuberc;-;-;-;-;-;-;-;1;-;-;3;1;2;3;2;5;7;10;4;5;10;-;53
B91   Sequelas de poliomielite;-;-;-;-;-;-;-;-;-;-;2;-;2;1;2;-;1;-;-;1;-;-;9
B92   Sequelas de hanseniase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
B94   Sequelas de outr doenc infecc e parasit e NE;-;-;-;-;-;-;2;-;1;1;1;2;2;1;1;4;1;2;1;2;3;-;24
B99   Doenc infecc outr e as NE;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;2;-;4;-;11
C00   Neopl malig do labio;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;-;1;10;-;17
C01   Neopl malig da base da lingua;-;-;-;-;-;-;-;-;-;-;-;-;6;10;19;31;31;27;19;9;20;-;172
C02   Neopl malig outr partes e NE da lingua;-;-;-;-;-;-;-;-;4;3;3;4;15;22;38;51;45;38;31;31;51;1;337
C03   Neopl malig da gengiva;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;-;3;-;8
C04   Neopl malig do assoalho da boca;-;-;-;-;-;-;-;-;-;-;-;1;1;7;8;9;15;14;7;6;5;-;73
C05   Neopl malig do palato;-;-;-;-;-;-;-;-;-;-;-;2;-;4;4;15;18;7;10;1;14;-;75
C06   Neopl malig outr partes e partes NE da boca;-;-;-;-;-;-;-;-;1;1;2;1;4;19;26;32;31;33;22;26;37;-;235
C07   Neopl malig da gland parotida;-;-;-;-;-;-;-;1;-;1;-;-;2;2;9;-;13;4;4;9;24;-;69
C08   Neopl malig outr gland saliv maiores e NE;-;-;-;-;-;-;-;-;-;-;2;-;2;1;2;2;8;2;5;2;7;-;33
C09   Neopl malig da amigdala;-;-;-;-;-;-;-;-;-;-;-;-;3;8;11;8;17;9;3;3;3;-;65
C10   Neopl malig da orofaringe;-;-;-;-;-;-;-;1;-;2;1;4;11;39;68;92;101;73;50;37;38;-;517
C11   Neopl malig da nasofaringe;-;-;-;-;-;1;-;3;3;-;3;4;10;6;9;10;7;9;6;6;8;-;85
C12   Neopl malig do seio piriforme;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;5;6;8;2;2;1;-;30
C13   Neopl malig da hipofaringe;-;-;-;-;-;-;-;-;-;-;-;-;7;7;15;16;26;18;14;7;10;-;120
C14   Neop mal out loc mal def labio cav oral far;-;-;-;-;-;-;-;-;-;-;2;-;6;17;29;42;40;21;24;15;19;1;216
C15   Neopl malig do esofago;-;-;-;-;-;-;-;-;1;-;6;20;33;94;190;319;312;280;212;149;182;-;1798
C16   Neopl malig do estomago;-;-;-;-;-;-;-;3;4;13;32;60;77;157;239;356;442;515;497;441;761;-;3597
C17   Neopl malig do intestino delgado;-;-;-;-;-;-;-;-;-;1;1;2;6;9;13;31;28;31;27;35;57;-;241
C18   Neopl malig do colon;-;-;-;-;-;-;-;2;8;12;24;45;107;145;207;342;438;479;444;441;865;-;3559
C19   Neopl malig da juncao retossigmoide;-;-;-;-;-;-;-;-;-;-;4;5;6;19;25;45;45;52;53;41;75;-;370
C20   Neopl malig do reto;-;-;-;-;-;-;-;2;4;3;19;30;36;79;107;153;162;220;179;190;269;-;1453
C21   Neopl malig do anus e do canal anal;-;-;-;-;-;-;-;-;-;1;1;-;3;7;11;11;12;13;9;7;23;-;98
C22   Neopl malig figado vias biliares intra-hepat;-;-;2;-;3;2;1;4;4;6;12;32;39;79;150;303;338;383;338;305;456;1;2458
C23   Neopl malig da vesicula biliar;-;-;-;-;-;-;-;-;-;1;-;3;7;6;13;18;28;38;20;24;44;-;202
C24   Neopl malig outr partes e NE vias biliares;-;-;-;-;-;-;-;-;-;2;3;4;10;18;33;46;78;73;67;70;120;-;524
C25   Neopl malig do pancreas;-;-;-;-;-;-;-;1;4;4;10;30;43;87;173;297;369;428;382;362;596;-;2786
C26   Neopl malig outr mal def aparelho digestivo;-;-;-;-;-;-;-;-;5;2;5;6;20;47;54;88;117;118;124;119;289;-;994
C30   Neopl malig cavidade nasal e do ouvido medio;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;3;3;3;3;1;2;-;19
C31   Neopl malig dos seios da face;-;-;-;-;-;-;-;-;1;-;1;-;3;4;2;4;4;3;2;3;6;-;33
C32   Neopl malig da laringe;-;-;-;-;-;-;-;-;1;1;2;9;17;62;143;188;208;166;137;90;99;-;1123
C33   Neopl malig da traqueia;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;4;4;2;1;1;2;-;19
C34   Neopl malig dos bronquios e dos pulmoes;-;-;-;-;-;-;1;2;12;11;22;36;114;194;438;751;985;1093;989;867;1213;-;6728
C37   Neopl malig do timo;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;1;2;1;5;3;-;17
C38   Neopl malig do coracao mediastino e pleura;-;-;1;-;1;1;3;4;2;3;6;2;5;8;11;11;24;18;16;29;24;-;169
C39   Neop mal out loc mal def ap resp org intrat;-;-;-;-;-;-;-;-;-;-;-;1;-;6;2;8;4;10;3;4;6;-;44
C40   Neopl malig ossos/cartilag artic membros;-;-;-;-;-;-;4;7;3;1;2;3;-;3;2;3;1;1;1;3;5;-;39
C41   Neopl malig ossos/cartil artic outr loc e NE;-;-;-;-;2;4;8;16;21;9;11;13;14;21;18;31;34;42;29;39;60;-;372
C43   Melanoma malig da pele;-;-;-;-;-;-;1;1;4;5;8;13;14;23;38;51;63;55;55;48;113;-;492
C44   Outr neopl malig da pele;-;-;-;-;-;-;-;2;1;1;3;-;7;10;13;21;30;29;27;63;195;-;402
C45   Mesotelioma;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;6;11;9;7;3;5;-;46
C46   Sarcoma de Kaposi;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;-;2;2;2;6;-;17
C47   Neopl malig nervos perif e sist nerv autonom;-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;2;2;1;1;-;-;-;11
C48   Neopl malig tec moles retro- e peritonio;-;-;-;-;-;-;2;1;3;6;7;7;10;21;24;25;38;33;46;29;56;-;308
C49   Neopl malig tec conjuntivo e outr tec moles;-;-;1;-;5;1;3;9;13;8;13;12;22;20;28;32;43;34;24;28;46;-;342
C50   Neopl malig da mama;-;-;-;-;-;-;-;-;3;34;90;165;278;382;455;473;492;462;354;320;641;-;4149
C51   Neopl malig da vulva;-;-;-;-;-;-;-;-;-;-;-;-;1;4;8;12;13;17;16;21;40;-;132
C52   Neopl malig da vagina;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;2;2;4;1;5;14;-;33
C53   Neopl malig do colo do utero;-;-;-;-;-;-;-;-;4;18;30;64;64;89;75;89;92;68;69;69;70;-;801
C54   Neopl malig do corpo do utero;-;-;-;-;-;-;-;-;-;1;3;6;7;8;21;53;79;74;77;61;87;-;477
C55   Neopl malig do utero porcao NE;-;-;-;-;-;-;-;-;1;5;9;17;18;30;56;61;46;66;59;40;93;-;501
C56   Neopl malig do ovario;-;-;-;-;-;-;-;3;4;7;12;24;30;68;106;111;152;138;116;93;130;-;994
C57   Neopl malig outr org genitais femin e NE;-;-;-;-;-;-;-;-;1;-;-;1;3;4;5;7;5;5;9;8;20;-;68
C58   Neopl malig da placenta;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;1;-;4
C60   Neopl malig do penis;-;-;-;-;-;-;-;-;-;-;2;3;5;3;4;6;8;6;10;7;9;-;63
C61   Neopl malig da prostata;-;-;-;-;-;-;-;1;-;1;1;-;5;10;41;92;225;383;472;542;1225;-;2998
C62   Neopl malig dos testiculos;-;-;-;-;-;-;-;2;16;14;13;9;5;5;3;4;3;3;3;1;2;-;83
C63   Neopl malig outr org genit masc e NE;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;2;1;1;2;-;10
C64   Neopl malig do rim exceto pelve renal;-;-;-;-;3;3;3;4;-;2;9;11;12;39;69;94;132;136;104;88;145;-;854
C65   Neopl malig da pelve renal;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;2;3;3;3;4;-;19
C66   Neopl malig dos ureteres;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;3;2;4;6;-;19
C67   Neopl malig da bexiga;-;-;-;-;-;-;-;-;-;2;1;2;12;14;35;61;110;128;151;174;444;-;1134
C68   Neopl malig de outr orgaos urinarios e NE;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;8;9;5;6;8;19;-;61
C69   Neopl malig do olho e anexos;-;-;-;-;1;1;-;-;-;-;1;-;3;3;3;1;4;-;4;5;10;-;36
C70   Neopl malig das meninges;-;-;-;-;-;-;-;-;-;-;2;1;2;1;5;6;6;6;7;4;7;-;47
C71   Neopl malig do encefalo;1;1;2;-;17;33;24;21;20;31;54;61;89;98;184;198;245;239;214;172;222;-;1926
C72   Neop mal med esp nerv cran out sist nerv cen;-;-;1;-;10;3;3;1;3;7;10;9;10;14;15;17;21;29;26;23;35;-;237
C73   Neopl malig da gland tireoide;-;-;-;-;-;-;-;-;-;-;1;3;8;7;10;11;13;28;20;17;40;-;158
C74   Neopl malig da gland supra-renal;-;-;-;-;10;4;3;1;-;5;1;1;3;4;4;5;3;4;6;5;4;-;63
C75   Neopl malig outr gland endocrinas estr relac;-;-;-;-;-;1;1;2;2;3;3;1;2;2;4;2;8;5;10;-;2;-;48
C76   Neopl malig outr localiz e mal definidas;-;-;-;-;2;1;-;3;3;4;11;10;15;47;78;97;119;118;95;86;210;1;900
C77   Neopl malig secund e NE gangl linfaticos;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;1;2;6;2;4;-;21
C78   Neopl malig secund org respirat e digestivos;-;-;-;-;-;-;-;2;2;2;2;4;14;17;43;60;86;81;69;74;102;-;558
C79   Neopl malig secund de outr localiz;-;-;-;-;-;1;-;1;2;-;1;8;12;14;18;37;44;42;42;40;77;-;339
C80   Neopl malig s/especificacao de localiz;-;-;-;-;2;1;1;4;7;10;12;26;31;63;131;199;233;242;200;205;356;-;1723
C81   Doenc de Hodgkin;-;-;-;-;-;-;1;5;9;18;14;8;13;3;8;12;16;15;14;11;21;-;168
C82   Linfoma nao-Hodgkin folicular;-;-;-;-;-;-;1;-;1;-;2;1;1;3;2;9;8;7;4;3;8;-;50
C83   Linfoma nao-Hodgkin difuso;-;-;-;-;3;2;2;1;2;2;7;4;3;5;10;15;10;10;19;15;24;-;134
C84   Linfomas de celulas T cutaneas e perifericas;-;-;-;-;-;-;3;2;2;3;2;2;6;2;8;9;10;10;7;8;7;-;81
C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;-;-;-;-;-;1;3;10;9;20;24;30;25;32;66;82;108;128;110;106;193;-;947
C88   Doenc imunoproliferativas malignas;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;3;1;1;2;-;10
C90   Mieloma mult e neopl malig de plasmocitos;-;-;-;-;-;-;-;-;-;-;3;7;13;33;58;84;129;135;128;124;185;-;899
C91   Leucemia linfoide;-;-;4;-;16;28;17;28;24;19;18;20;13;19;25;18;34;34;33;40;88;-;478
C92   Leucemia mieloide;-;-;2;-;14;11;13;14;20;34;41;34;46;45;49;72;78;99;79;111;182;-;944
C93   Leucemia monocitica;-;-;-;-;-;-;-;1;-;1;-;-;1;2;-;-;-;2;-;3;1;-;11
C94   Outr leucemias de celulas de tipo espec;-;-;-;-;1;-;1;-;-;-;-;-;-;1;2;2;5;1;4;7;8;-;32
C95   Leucemia de tipo celular NE;-;1;3;-;1;2;2;5;7;5;4;7;9;7;10;15;23;21;26;43;85;-;276
C96   Outr neopl mal e NE tec linf hematop e corr;-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;4;2;7;3;2;2;-;26
C97   Neopl malig de localiz mult independentes;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;-;1;4;1;-;12
D00   Carcinoma in situ cav oral esofago estomago;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;-;1;1;3;-;12
D01   Carcinoma in situ de outr orgaos digestivos;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;4;4;3;1;4;5;-;24
D02   Carcinoma in situ ouvido medio e ap respirat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;6;-;2;-;-;13
D03   Melanoma in situ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;2;-;6
D04   Carcinoma in situ da pele;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;2;4;-;10
D05   Carcinoma in situ da mama;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;-;2;-;8
D06   Carcinoma in situ do colo do utero;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;3
D07   Carcinoma in situ outr orgaos genitais e NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;1;3;7;-;16
D09   Carcinoma in situ de outr localiz e das NE;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;4;1;3;2;3;-;18
D10   Neopl benig da boca e da faringe;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;3
D12   Neopl benig do colon reto canal anal e anus;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
D13   Neopl benig outr part e mal def ap digestivo;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;-;2;-;6
D14   Neopl benig ouvido medio e aparelho respirat;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;2;1;2;2;-;10
D15   Neopl benig outr orgaos intratoracicos e NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
D16   Neopl benig de osso e cartilagem articular;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
D17   Neopl lipomatosa benig;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
D18   Hemangioma e linfangioma de qualquer localiz;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;2;-;1;1;3;-;12
D19   Neopl benig de tec mesotelial;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
D20   Neopl benig tec mole retro- e peritonio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
D21   Outr neopl benig tec conj e outr tec moles;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
D23   Outr neopl benig da pele;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;4
D25   Leiomioma do utero;-;-;-;-;-;-;-;-;-;-;1;1;3;3;3;1;1;-;1;1;-;-;15
D26   Outr neopl benig do utero;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;3
D27   Neopl benig do ovario;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
D32   Neopl benig das meninges;-;-;1;-;-;-;1;-;1;2;-;3;2;4;5;9;7;6;10;11;18;-;80
D33   Neopl benig encef e out part sist nerv centr;-;-;-;-;-;1;-;-;-;-;-;1;-;3;-;3;3;-;1;3;3;-;18
D35   Neopl benig de outr gland endocrinas e NE;-;-;-;-;-;-;-;-;-;-;1;3;1;-;1;5;2;-;1;-;-;-;14
D36   Neopl benig de outr localiz e de localiz NE;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
D37   Neopl comp incerto/desc cav oral e org dig;-;-;-;-;-;-;-;-;-;-;1;-;2;4;5;10;11;14;13;10;24;-;94
D38   Neopl comp inc/desc ouv med org resp intrat;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;14;11;13;9;3;11;-;65
D39   Neopl comp incerto/desconh org genitais fem;-;-;-;-;-;-;-;-;-;-;1;1;-;3;1;-;2;3;3;1;2;-;17
D40   Neopl comp incerto/desconh org genitais masc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;7;1;-;10
