 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2012
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;1;1;-;1;3;2;3;-;-;-;1;2;-;14
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;4;2;2;1;-;-;-;13
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B44   Aspergilose";-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;3;1;-;1;-;-;-;8
"B45   Criptococose";-;-;-;-;-;-;-;-;-;1;3;2;2;2;1;5;5;4;3;-;1;-;29
"B48   Outr micoses NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"B49   Micose NE";-;2;5;-;1;-;-;-;-;1;-;-;1;-;-;1;-;2;-;-;-;-;13
"B54   Malaria NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B55   Leishmaniose";-;-;-;-;1;-;-;-;1;2;-;-;2;4;-;1;-;1;4;3;2;-;21
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;1;-;7;22;36;46;73;111;117;126;155;148;212;-;1054
"B58   Toxoplasmose";-;-;-;-;-;-;-;-;1;1;2;2;4;1;-;1;-;1;-;-;1;-;14
"B59   Pneumocistose";-;-;-;-;-;-;-;-;1;-;-;2;2;1;-;-;2;-;-;1;-;-;9
"B64   Doenc NE dev protozoarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;4;3;6;8;9;6;10;6;8;2;-;62
"B69   Cisticercose";-;-;-;-;-;-;-;1;1;-;2;1;-;1;2;1;1;3;-;-;2;-;15
"B77   Ascaridiase";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B87   Miiase";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;4;-;8
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;1;-;3;2;3;3;6;7;8;3;10;8;11;12;-;77
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;1;-;2;-;-;1;-;8
"B92   Sequelas de hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;1;-;-;2;-;-;1;-;-;1;1;3;3;2;1;2;-;-;17
"B99   Doenc infecc outr e as NE";-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;1;3;-;-;2;6;-;16
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;1;1;3;8;-;18
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;1;-;2;5;21;29;36;26;22;17;14;12;-;185
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;1;2;3;6;25;40;51;39;25;27;23;28;-;270
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;3;1;3;1;1;2;-;14
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;1;2;5;10;6;6;6;2;-;3;-;41
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;1;1;4;9;12;15;3;4;7;11;1;68
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;1;1;1;5;12;23;31;31;32;18;17;28;-;200
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;1;1;2;3;8;4;7;5;5;6;17;-;59
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;-;-;-;-;1;-;1;-;-;-;2;2;1;5;3;2;1;7;-;25
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;1;-;2;3;4;14;7;10;7;6;2;2;-;58
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;2;1;19;41;71;85;72;48;45;32;33;-;449
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;2;6;3;1;6;4;7;6;13;17;9;6;5;4;4;-;93
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;4;7;7;3;10;4;7;4;-;46
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;1;-;1;-;1;2;6;7;27;29;25;15;10;14;11;-;149
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;1;-;-;2;-;5;18;30;33;37;26;12;17;26;-;207
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;2;3;12;36;110;223;277;278;235;189;130;168;-;1663
"C16   Neopl malig do estomago";-;-;-;-;-;1;-;2;5;17;34;66;90;152;244;306;405;465;478;432;721;1;3419
"C17   Neopl malig do intestino delgado";-;1;-;-;-;-;-;-;-;2;2;6;5;15;12;21;23;18;32;24;34;-;195
"C18   Neopl malig do colon";-;-;-;-;-;-;-;1;3;16;23;51;72;136;206;305;351;379;396;413;737;-;3089
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;2;5;10;15;25;39;41;40;35;45;74;-;331
"C20   Neopl malig do reto";-;-;-;-;-;-;-;1;2;9;15;20;35;59;84;119;149;147;138;140;249;-;1167
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;1;1;-;1;5;4;8;9;14;11;9;12;-;75
"C22   Neopl malig figado vias biliares intra-hepat";-;-;1;-;1;1;2;1;6;11;11;19;41;85;195;250;281;308;298;244;370;-;2125
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;5;11;6;16;22;23;28;31;28;43;-;213
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;1;5;5;14;18;21;49;48;63;68;68;134;-;494
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;1;2;3;5;17;44;81;161;250;289;312;348;334;486;-;2333
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;2;8;10;19;34;50;75;101;92;108;129;240;1;869
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;-;3;-;1;2;-;10
"C31   Neopl malig dos seios da face";-;-;-;-;-;-;-;-;-;-;2;-;1;2;1;7;5;4;1;3;9;-;35
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;1;1;1;6;28;83;166;216;194;185;148;87;115;-;1231
"C33   Neopl malig da traqueia";-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;5;2;-;3;5;-;-;19
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;1;1;4;10;13;20;40;97;228;427;687;840;861;855;790;955;4;5833
"C37   Neopl malig do timo";-;-;-;-;-;-;2;-;1;-;1;1;1;1;3;-;3;1;2;-;-;-;16
"C38   Neopl malig do coracao mediastino e pleura";1;-;-;-;3;1;1;5;6;4;9;3;10;6;14;22;17;18;24;13;37;-;194
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;1;-;-;1;-;-;1;2;5;5;2;4;5;10;7;-;43
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;1;2;5;4;2;5;1;2;1;3;1;6;2;6;6;5;6;-;58
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;8;8;13;15;14;10;12;14;18;25;29;39;36;45;28;49;2;365
"C43   Melanoma malig da pele";-;-;-;-;1;-;1;-;1;4;6;11;18;35;39;49;36;41;41;58;97;-;438
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;1;2;2;2;12;5;8;23;15;29;28;29;147;-;303
"C45   Mesotelioma";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;6;6;9;6;6;4;-;41
"C46   Sarcoma de Kaposi";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;2;2;2;4;-;14
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;-;-;-;-;-;-;2;2;1;1;1;-;1;-;-;1;-;3;-;-;12
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;2;-;-;2;5;3;5;10;11;21;27;33;47;48;35;45;51;-;345
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;1;-;4;5;5;10;5;18;8;14;8;14;21;26;18;20;24;17;34;-;252
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;17;95;138;238;327;403;470;425;380;305;265;570;1;3635
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;1;-;-;1;-;2;4;4;8;12;8;11;34;-;85
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;1;13;-;19
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;2;6;18;23;55;59;66;115;91;81;70;57;63;87;-;793
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;4;2;3;4;11;22;37;46;59;52;48;78;-;366
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;1;3;3;6;11;19;24;44;48;58;32;45;51;95;-;440
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;3;1;11;14;18;36;63;71;110;121;101;68;68;109;-;794
"C57   Neopl malig outr org genitais femin e NE";-;-;-;-;-;-;-;-;1;-;2;1;4;7;10;11;7;6;8;10;17;-;84
"C60   Neopl malig do penis";-;-;-;-;-;-;-;-;-;1;-;-;4;1;7;4;3;7;5;8;10;-;50
"C61   Neopl malig da prostata";-;-;-;-;1;-;2;-;-;1;-;5;3;9;39;84;201;293;439;557;1199;-;2833
"C62   Neopl malig dos testiculos";-;-;-;-;-;-;-;5;10;19;19;5;2;7;4;2;-;1;1;-;1;-;76
"C63   Neopl malig outr org genit masc e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;1;-;3;5;-;15
"C64   Neopl malig do rim exceto pelve renal";-;-;2;-;5;5;1;2;2;8;12;9;17;24;70;87;88;90;84;76;116;-;698
"C65   Neopl malig da pelve renal";-;-;-;-;-;-;-;-;-;-;-;2;-;3;2;3;3;3;3;3;5;-;27
"C66   Neopl malig dos ureteres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;4;3;4;-;14
"C67   Neopl malig da bexiga";-;-;-;-;-;1;-;-;-;1;-;3;10;17;35;51;85;110;163;153;325;-;954
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;1;-;1;1;5;2;10;7;7;11;15;-;60
"C69   Neopl malig do olho e anexos";-;-;-;-;2;1;-;-;-;-;1;2;-;5;1;2;1;3;3;3;8;-;32
"C70   Neopl malig das meninges";-;-;-;-;-;-;1;1;1;-;-;2;2;-;3;1;3;5;3;3;3;-;28
"C71   Neopl malig do encefalo";-;-;9;-;28;26;25;25;24;33;52;66;95;136;139;218;204;191;197;137;201;1;1807
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;3;-;6;10;3;4;3;5;8;2;10;17;16;23;18;18;25;9;21;-;201
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;1;1;1;12;5;12;14;15;19;10;33;-;123
"C74   Neopl malig da gland supra-renal";-;-;-;-;13;12;1;1;3;1;3;1;2;3;5;9;4;7;3;4;4;-;76
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;1;-;1;2;1;2;3;1;1;5;4;2;7;8;4;2;7;-;51
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;3;4;-;4;5;7;7;13;25;55;63;98;102;85;117;99;191;1;879
"C77   Neopl malig secund e NE gangl linfaticos";-;-;-;-;-;-;-;-;-;-;1;1;1;3;1;6;3;6;1;4;3;-;30
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;1;1;1;-;2;8;17;41;54;83;95;110;113;113;156;-;795
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;1;1;5;7;6;10;16;28;48;55;45;42;50;77;-;391
"C80   Neopl malig s/especificacao de localiz";-;-;1;-;-;-;2;4;9;13;17;20;45;89;114;208;246;232;248;213;369;-;1830
"C81   Doenc de Hodgkin";-;-;-;-;-;1;1;13;15;15;11;7;3;8;4;7;8;14;9;7;17;-;140
"C82   Linfoma nao-Hodgkin folicular";-;-;-;-;-;-;-;-;-;2;1;1;4;3;-;4;4;4;2;1;3;-;29
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;1;1;3;8;2;3;8;3;4;7;5;6;10;7;8;3;13;-;92
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;1;2;1;2;5;3;2;3;5;5;9;6;3;6;-;53
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;3;-;4;12;16;16;14;28;38;45;63;86;102;109;107;121;173;-;937
"C88   Doenc imunoproliferativas malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;4;-;9
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;2;1;1;7;12;25;48;61;99;91;96;96;138;-;677
"C91   Leucemia linfoide";-;-;2;-;19;22;27;31;25;19;12;7;13;20;19;23;15;33;26;42;78;-;433
"C92   Leucemia mieloide";-;-;8;-;12;11;18;23;19;28;30;34;31;39;55;53;71;61;72;75;119;-;759
"C93   Leucemia monocitica";-;-;-;-;-;1;-;-;-;-;1;2;-;1;1;2;-;-;2;1;-;-;11
"C94   Outr leucemias de celulas de tipo espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;2;4;-;11
"C95   Leucemia de tipo celular NE";-;-;1;-;4;3;3;6;9;7;7;5;5;11;15;17;11;18;31;33;79;-;265
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;-;-;1;-;2;1;-;3;-;1;5;6;2;3;2;7;-;33
"C97   Neopl malig de localiz mult independentes";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;7;4;8;6;5;-;36
"D00   Carcinoma in situ cav oral esofago estomago";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;3;5;1;1;4;-;18
"D01   Carcinoma in situ de outr orgaos digestivos";-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;5;2;6;1;8;-;28
"D02   Carcinoma in situ ouvido medio e ap respirat";-;-;-;-;-;-;-;-;-;-;-;-;2;4;-;7;2;6;2;1;7;-;31
"D03   Melanoma in situ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D04   Carcinoma in situ da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;4;-;7
"D05   Carcinoma in situ da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4;1;1;1;5;-;16
"D06   Carcinoma in situ do colo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;3;-;-;-;9
"D07   Carcinoma in situ outr orgaos genitais e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;9;-;13
"D09   Carcinoma in situ de outr localiz e das NE";-;-;-;-;-;1;-;-;1;1;1;1;-;-;1;5;2;3;6;4;4;-;30
"D10   Neopl benig da boca e da faringe";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;4
"D11   Neopl benig de gland salivares maiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"D12   Neopl benig do colon reto canal anal e anus";-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;3;-;2;2;2;1;-;13
"D13   Neopl benig outr part e mal def ap digestivo";-;-;-;-;-;-;-;-;-;-;1;2;1;3;1;2;4;1;3;6;10;-;34
"D14   Neopl benig ouvido medio e aparelho respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;2;1;4;-;12
"D15   Neopl benig outr orgaos intratoracicos e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"D16   Neopl benig de osso e cartilagem articular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"D17   Neopl lipomatosa benig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;4
"D18   Hemangioma e linfangioma de qualquer localiz";-;-;1;-;2;-;-;-;-;2;-;-;-;-;-;-;1;3;2;3;6;-;20
"D19   Neopl benig de tec mesotelial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
"D20   Neopl benig tec mole retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"D24   Neopl benig da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"D25   Leiomioma do utero";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;1;1;-;6
"D26   Outr neopl benig do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D27   Neopl benig do ovario";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;3
"D28   Neopl benig outr org genitais femin e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D29   Neopl benig dos orgaos genitais masc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;4
"D30   Neopl benig dos orgaos urinarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;3
"D32   Neopl benig das meninges";-;-;-;-;-;-;-;-;-;-;2;2;3;7;8;4;15;8;8;11;20;-;88
"D33   Neopl benig encef e out part sist nerv centr";-;-;-;-;-;-;1;-;1;2;1;-;-;1;5;-;4;2;-;2;-;-;19
"D34   Neopl benig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D35   Neopl benig de outr gland endocrinas e NE";-;-;-;-;-;-;-;-;-;2;-;-;1;1;2;1;-;2;-;3;3;-;15
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;3
"D37   Neopl comp incerto/desc cav oral e org dig";1;-;1;-;-;-;-;-;-;1;-;-;-;5;7;11;9;9;13;11;20;-;88
"D38   Neopl comp inc/desc ouv med org resp intrat";1;1;-;-;-;-;-;-;-;1;-;-;-;3;6;10;12;8;14;14;14;-;84
"D39   Neopl comp incerto/desconh org genitais fem";-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;1;1;4;1;1;-;12
"D40   Neopl comp incerto/desconh org genitais masc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;2;2;13;-;21
"D41   Neopl comp incerto/desconh orgaos urinarios";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;2;5;3;11;6;-;31
