 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2018
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;6;12
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;3
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;2;5;5;2;3;20
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;1;-;2;2;1;11
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;3;2;1;12
"C91   Leucemia linfoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;2;7
"C92   Leucemia mieloide";-;-;-;-;-;-;1;-;-;-;-;1;2;-;-;1;1;2;1;2;11
"C94   Outr leucemias de celulas de tipo espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D25   Leiomioma do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"D32   Neopl benig das meninges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"D37   Neopl comp incerto/desc cav oral e org dig";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D38   Neopl comp inc/desc ouv med org resp intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"D46   Sindr mielodisplasicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;3
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D53   Outr anemias nutricionais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D57   Transt falciformes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"D59   Anemia hemolitica adquir";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D60   Aplasia pura da serie vermelha adquir";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D61   Outr anemias aplasticas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;2;6
"D64   Outr anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"D68   Outr defeitos da coagulacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D70   Agranulocitose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D73   Doenc do baco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D84   Outr imunodeficiencias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E03   Outr hipotireoidismos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"E10   Diabetes mellitus insulino-dependente";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;2;5
"E11   Diabetes mellitus nao-insulino-dependemte";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;3;2;8;19
"E14   Diabetes mellitus NE";-;-;-;-;-;-;-;-;-;-;2;1;-;1;7;7;4;9;5;40;76
"E16   Outr transt da secrecao pancreatica interna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E43   Desnutric proteico-calorica grave NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"E46   Desnutric proteico-calorica NE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;7;9
"E66   Obesidade";-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;1;2;1;-;-;8
"E78   Disturbios metab lipoproteinas e out lipidem";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;5
"E83   Disturbios do metabolismo de minerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E86   Deplecao de volume";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"E87   Outr transt equil hidroeletr e acido-basic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3
"E88   Outr disturbios metabolicos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"F03   Demencia NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"F31   Transt afetivo bipolar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"F32   Episodios depressivos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
"G00   Meningite bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"G06   Abscesso granuloma intracran intra-raquid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"G09   Sequelas doenc inflam sist nerv centr";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"G10   Doenc de Huntington";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"G12   Atrofia muscular espinal e sindr correlatas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;2;1;1;8
"G20   Doenc de Parkinson";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;4;14;21
"G30   Doenc de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;11;69;84
"G31   Outr doenc degenerativas sist nervoso NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;6;60;69
"G35   Esclerose mult";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"G40   Epilepsia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;4
"G41   Estado de mal epileptico";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
"G61   Polineuropatia inflam";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"G71   Transt prim dos musculos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"G80   Paralisia cerebral";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"G90   Transt do sist nervoso autonomo";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G91   Hidrocefalia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"G93   Outr transt do encefalo";-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;1;3;1;3;12
"G98   Outr transt do sist nervoso NCOP";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"I05   Doenc reumaticas da valva mitral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"I07   Doenc reumaticas da valva tricuspide";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;3
"I08   Doenc de mult valvas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;3
"I09   Outr doenc reumaticas do coracao";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"I10   Hipertensao essencial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;5;7;15
"I11   Doenc cardiaca hipertensiva";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;4;2;26;35
"I12   Doenc renal hipertensiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;4
"I13   Doenc cardiaca e renal hipertensiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;2;6
"I21   Infarto agudo do miocardio";-;-;-;-;-;-;-;1;-;1;2;3;8;12;25;31;27;36;36;144;326
"I24   Outr doenc isquemicas agudas do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;1;4;10
"I25   Doenc isquemica cronica do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;6;10;8;39;67
"I26   Embolia pulmonar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;3;1;8;17
"I27   Outr form de doenc cardiaca pulmonar";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;1;-;4
"I31   Outr doenc do pericardio";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I33   Endocardite aguda e subaguda";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;2;6
"I34   Transt nao-reumaticos da valva mitral";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;2;3;8
"I35   Transt nao-reumaticos da valva aortica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;1;7;14
"I38   Endocardite de valva NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;1;5
"I42   Cardiomiopatias";-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;2;6;4;3;17;38
"I44   Bloqueio atrioventricular e do ramo esquerdo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;6
"I48   Flutter e fibrilacao atrial";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;5;15;25
"I49   Outr arritmias cardiacas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;2;18;23
"I50   Insuf cardiaca";-;-;-;-;-;-;-;-;-;1;1;-;-;3;1;8;8;7;14;66;109
"I51   Complic cardiopatias doenc cardiacas mal def";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
"I60   Hemorragia subaracnoide";-;-;-;-;-;-;-;-;-;1;3;2;2;4;-;1;3;4;-;4;24
"I61   Hemorragia intracerebral";-;-;-;-;-;-;-;-;1;-;-;1;2;2;4;4;6;5;5;15;45
"I62   Outr hemorragias intracranianas nao-traum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;4
"I63   Infarto cerebral";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;4
"I64   Acid vasc cerebr NE como hemorrag isquemico";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;5;5;5;17;44;80
"I67   Outr doenc cerebrovasculares";-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;5;7;3;14;42;76
"I69   Sequelas de doenc cerebrovasculares";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;6;10;8;38;64
"I70   Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4
"I71   Aneurisma e disseccao da aorta";-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;2;3;1;5;13;29
"I72   Outr aneurismas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"I73   Outr doenc vasculares perifericas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;1;1;4;10
"I74   Embolia e trombose arteriais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"I77   Outr afeccoes das arterias e arteriolas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"I80   Flebite e tromboflebite";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;4;7
"I82   Outr embolia e trombose venosas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"I83   Varizes dos membros infer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I85   Varizes esofagianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I89   Outr transt nao-infecc vasos linf gangl linf";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"I95   Hipotensao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"I99   Outr transt do aparelho circulatorio e os NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"J02   Faringite aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"J09   Influenza A (H1N1)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;4
"J11   Influenza dev virus nao identificado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3
"J12   Pneumonia viral NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"J15   Pneumonia bacter NCOP";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;1;15;20
"J18   Pneumonia p/microorg NE";-;1;3;1;-;-;-;-;-;1;-;-;3;5;2;10;8;12;21;146;213
"J21   Bronquiolite aguda";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"J32   Sinusite cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"J38   Doenc das cordas vocais e da laringe NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"J39   Outr doenc das vias aereas super";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"J42   Bronquite cronica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"J43   Enfisema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"J44   Outr doenc pulmonares obstrutivas cronicas";-;-;-;-;-;-;-;-;-;-;-;1;-;4;5;13;11;16;16;79;145
"J45   Asma";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;4;7
"J46   Estado de mal asmatico";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
"J69   Pneumonite dev solidos e liquidos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;14;19
"J80   Sindr do desconforto respirat do adulto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"J81   Edema pulmonar NE de outr form";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;4;8
"J84   Outr doenc pulmonares intersticiais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;1;10;18
"J85   Abscesso do pulmao e do mediastino";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"J86   Piotorax";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"J90   Derrame pleural NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"J94   Outr afeccoes pleurais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"J96   Insuf respirat NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"J98   Outr transt respirat";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;8;13
"K20   Esofagite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"K22   Outr doenc do esofago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"K25   Ulcera gastrica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;2;2;9
"K26   Ulcera duodenal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4
"K35   Apendicite aguda";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3
"K37   Apendicite SOE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"K40   Hernia inguinal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"K42   Hernia umbilical";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"K44   Hernia diafragmatica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3
"K45   Outr hernias abdominais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"K46   Hernia abdominal NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;4
"K51   Colite ulcerativa";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;4
"K52   Outr gastroenterites e colites nao-infecc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"K55   Transt vasculares do intestino";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;1;1;3;7;17
"K56   Ileo paralitico e obstr intestinal s/hernia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;2;5;10
"K57   Doenc diverticular do intestino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;7;15
"K62   Outr doenc do reto e do anus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"K63   Outr doenc do intestino";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;4;8
"K65   Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4;3;2;5;18
"K66   Outr transt do peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"K70   Doenc alcoolica do figado";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;3
"K71   Doenc hepatica toxica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"K72   Insuf hepatica NCOP";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;2;7
"K74   Fibrose e cirrose hepaticas";-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;3;5;3;4;5;25
"K75   Outr doenc inflam do figado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;3
"K76   Outr doenc do figado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"K80   Colelitiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;2;6
